N,length,width,fgap,ggap,taper,1_1,1_2,1_GND,2_1,2_2,2_GND,GND_1,GND_2,GND_GND
6,100.0,10.0,10.00000001,75.0,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.0,10.0,10.0,75.00000001,50.0,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
6,100.0,10.0,10.0,75.0,50.00000001,4.9402289083579454e-17,2.465344177680527e-14,3.9013079249142037e-14,2.465344177680527e-14,5.066553875194052e-17,3.916482537393762e-14,3.9013079249142037e-14,3.916482537393762e-14,2.43879860191465e-13
7,100.0,10.0,10.0,75.0,50.0,6.264539482774077e-17,2.942973031956767e-14,4.527795162236806e-14,2.942973031956767e-14,4.8704423304961334e-17,3.81279998949299e-14,4.527795162236806e-14,3.81279998949299e-14,2.436521579479949e-13
7,100.00000001,10.0,10.0,75.0,50.0,6.264539482775339e-17,2.942973031956767e-14,4.5277951622368044e-14,2.942973031956767e-14,4.8704423304973956e-17,3.812799989492988e-14,4.5277951622368044e-14,3.812799989492988e-14,2.436521579479949e-13
7,100.0,10.00000001,10.0,75.0,50.0,6.264539482777232e-17,2.942973031956767e-14,4.527795162236803e-14,2.942973031956767e-14,4.8704423304973956e-17,3.812799989492988e-14,4.527795162236803e-14,3.812799989492988e-14,2.436521579479944e-13
7,100.0,10.0,10.00000001,75.0,50.0,6.264539482777232e-17,2.942973031956767e-14,4.527795162236803e-14,2.942973031956767e-14,4.8704423304961334e-17,3.81279998949299e-14,4.527795162236803e-14,3.81279998949299e-14,2.436521579479947e-13
7,100.0,10.0,10.0,75.00000001,50.0,6.264539482773447e-17,2.942973031956767e-14,4.527795162236806e-14,2.942973031956767e-14,4.8704423304973956e-17,3.812799989492988e-14,4.527795162236806e-14,3.812799989492988e-14,2.436521579479951e-13
7,100.0,10.0,10.0,75.0,50.00000001,6.264539482775339e-17,2.942973031956767e-14,4.5277951622368044e-14,2.942973031956767e-14,4.8704423304973956e-17,3.812799989492988e-14,4.5277951622368044e-14,3.812799989492988e-14,2.436521579479943e-13
8,100.0,10.0,10.0,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.00000001,10.0,10.0,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.0,10.00000001,10.0,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
8,100.0,10.0,10.00000001,75.0,50.0,6.128768073631988e-17,3.42725477288333e-14,4.4699868404268526e-14,3.42725477288333e-14,6.001741291416283e-17,4.470245124649994e-14,4.4699868404268526e-14,4.470245124649994e-14,2.438682995629726e-13
